rank, city, state, pop_2014, pop_2010, change, land_area, density, lat, lon
1 , New York , New York , 8491079 , 8175133 , +3.86 , 302.6 , 27012 , 40.6643, -73.9385
2 , Los Angeles , California , 3928864 , 3792621 , +3.59 , 468.7 , 8092 , 34.0194, -118.4108
3 , Chicago , Illinois , 2722389 , 2695598 , +0.99 , 227.6 , 11842 , 41.8376, -87.6818
4 , Houston , Texas , 2239558 , 2100263 , +6.63 , 599.6 , 3501 , 29.7805, -95.3863
5 , Philadelphia , Pennsylvania , 1560297 , 1526006 , +2.25 , 134.1 , 11379 , 40.0094, -75.1333
6 , Phoenix , Arizona , 1537058 , 1445632 , +6.32 , 516.7 , 2798 , 33.5722, -112.088
7 , San Antonio , Texas , 1436697 , 1327407 , +8.23 , 460.9 , 2880 , 29.4724, -98.5251
8 , San Diego , California , 1381069 , 1307402 , +5.63 , 325.2 , 4020 , 32.8153, -117.135
9 , Dallas , Texas , 1281047 , 1197816 , +6.95 , 340.5 , 3518 , 32.7757, -96.7967
10 , San Jose , California , 1015785 , 945942 , +7.38 , 176.6 , 5359 , 37.2969, -121.8193
11 , Austin , Texas , 912791 , 790390 , +15.49 , 322.48 , 2653 , 30.3072, -97.756
12 , Jacksonville , Florida , 853382 , 821784 , +3.85 , 747.0 , 1120 , 30.3370, -81.6613
13 , San Francisco , California , 852469 , 805235 , +5.87 , 46.9 , 17179 , 37.7751, -122.4193
14 , Indianapolis , Indiana , 848788 , 820445 , +3.45 , 361.4 , 2270 , 39.7767, -86.1459
15 , Columbus , Ohio , 835957 , 787033 , +6.22 , 217.2 , 3624 , 39.9848, -82.985
16 , Fort Worth , Texas , 812238 , 741206 , +9.58 , 339.8 , 2181 , 32.7795, -97.3463
17 , Charlotte , North Carolina , 809958 , 731424 , +10.74 , 297.7 , 2457 , 35.2087, -80.8307
18 , Detroit , Michigan , 680250 , 713777 , −4.70 , 138.8 , 5144 , 42.3830, -83.1022
19 , El Paso , Texas , 679036 , 649121 , +4.61 , 255.2 , 2543 , 31.8484, -106.427
20 , Seattle , Washington , 668342 , 608660 , +9.81 , 83.9 , 7251 , 47.6205, -122.3509
21 , Denver , Colorado , 663862 , 600158 , +10.61 , 153.0 , 3923 , 39.7618, -104.8806
22 , Washington , District of Columbia , 658893 , 601723 , +9.50 , 61.0 , 9856 , 38.9041, -77.0171
23 , Memphis , Tennessee , 656861 , 646889 , +1.54 , 315.1 , 2053 , 35.1035, -89.9785
24 , Boston , Massachusetts , 655884 , 617594 , +6.20 , 48.3 , 12793 , 42.3320, -71.0202
25 , Nashville , Tennessee , 644014 , 601222 , +7.12 , 475.1 , 1265 , 36.1718, -86.785
26 , Baltimore , Maryland , 622793 , 620961 , +0.30 , 80.9 , 7672 , 39.3002, -76.6105
27 , Oklahoma City , Oklahoma , 620602 , 579999 , +7.00 , 606.4 , 956 , 35.4671, -97.5137
28 , Portland , Oregon , 619360 , 583776 , +6.10 , 133.4 , 4375 , 45.5370, -122.65
29 , Las Vegas , Nevada , 613599 , 583756 , +5.11 , 135.8 , 4298 , 36.2277, -115.264
30 , Louisville , Kentucky , 612780 , 597337 , +2.59 , 325.2 , 1837 , 38.1781, -85.6667
31 , Milwaukee , Wisconsin , 599642 , 594833 , +0.81 , 96.1 , 6188 , 43.0633, -87.9667
32 , Albuquerque , New Mexico , 557169 , 545852 , +2.07 , 187.7 , 2908 , 35.1056, -106.6474
33 , Tucson , Arizona , 527972 , 520116 , +1.51 , 226.7 , 2294 , 32.1543, -110.8711
34 , Fresno , California , 515986 , 494665 , +4.31 , 113.2 , 4418 , 36.7827, -119.7945
35 , Sacramento , California , 485199 , 466488 , +4.01 , 97.9 , 4764 , 38.5666, -121.4686
36 , Long Beach , California , 473577 , 462257 , +2.45 , 50.3 , 9191 , 33.8091, -118.1553
37 , Kansas City , Missouri , 470800 , 459787 , +2.40 , 315.0 , 1460 , 39.1252, -94.5511
38 , Mesa , Arizona , 464704 , 439041 , +5.85 , 136.5 , 3218 , 33.4019, -111.7174
39 , Atlanta , Georgia , 456002 , 420003 , +8.57 , 133.2 , 3154 , 33.7629, -84.4227
40 , Virginia Beach , Virginia , 450980 , 437994 , +2.96 , 249.0 , 1759 , 36.7793, -76.024
41 , Omaha , Nebraska , 446599 , 408958 , +9.20 , 127.1 , 3218 , 41.2647, -96.0419
42 , Colorado Springs , Colorado , 445830 , 416427 , +7.06 , 194.5 , 2141 , 38.8673, -104.7607
43 , Raleigh , North Carolina , 439896 , 403892 , +8.91 , 142.9 , 2826 , 35.8302, -78.6414
44 , Miami , Florida , 430332 , 399457 , +7.73 , 35.9 , 11539 , 25.7752, -80.2086
45 , Oakland , California , 413775 , 390724 , +5.90 , 55.9 , 7004 , 37.7699, -122.2256
46 , Minneapolis , Minnesota , 407207 , 382578 , +6.44 , 54.0 , 7088 , 44.9633, -93.2683
47 , Tulsa , Oklahoma , 399682 , 391906 , +1.98 , 196.8 , 1992 , 36.1279, -95.9023
48 , Cleveland , Ohio , 389521 , 396815 , −1.84 , 77.7 , 5107 , 41.4781, -81.6795
49 , Wichita , Kansas , 388413 , 382368 , +1.58 , 159.3 , 2400 , 37.6907, -97.3427
50 , New Orleans , Louisiana , 384320 , 343829 , +11.78 , 169.4 , 2029 , 30.0686, -89.939
51 , Arlington , Texas , 383204 , 365438 , +4.86 , 95.9 , 3811 , 32.7007, -97.1247
52 , Bakersfield , California , 368759 , 347483 , +6.12 , 142.2 , 2444 , 35.3212, -119.0183
53 , Tampa , Florida , 358699 , 335709 , +6.85 , 113.4 , 3077 , 27.9701, -82.4797
54 , Aurora , Colorado , 353108 , 325078 , +8.62 , 154.1 , 2110 , 39.7082, -104.8235
55 , Honolulu , Hawai'i , 350399 , 337256 , +3.90 , 60.5 , 5573 , 21.3259, -157.8453
